id,value,color
flare,
flare.analytics,
flare.analytics.cluster,
flare.analytics.cluster.AgglomerativeCluster,3938,#FFA500
flare.analytics.cluster.CommunityStructure,3812,#FFA500
flare.analytics.cluster.HierarchicalCluster,6714,#FFA500
flare.analytics.cluster.MergeEdge,743,#FFA500
flare.analytics.graph,
flare.analytics.graph.BetweennessCentrality,3534,#FFA500
flare.analytics.graph.LinkDistance,5731,#FFA500
flare.analytics.graph.MaxFlowMinCut,7840,#FFA500
flare.analytics.graph.ShortestPaths,5914,#FFA500
flare.analytics.graph.SpanningTree,3416,#FFA500
flare.analytics.optimization,
flare.analytics.optimization.AspectRatioBanker,7074,#FFA500
flare.animate,
flare.animate.Easing,17010,#FFA500
flare.animate.FunctionSequence,5842,#FFA500
flare.animate.interpolate,
flare.animate.interpolate.ArrayInterpolator,1983,#FFA500
flare.animate.interpolate.ColorInterpolator,2047,#FFA500
flare.animate.interpolate.DateInterpolator,1375,#FFA500
flare.animate.interpolate.Interpolator,8746,#FFA500
flare.animate.interpolate.MatrixInterpolator,2202,#FFA500
flare.animate.interpolate.NumberInterpolator,1382,#FFA500
flare.animate.interpolate.ObjectInterpolator,1629,#FFA500
flare.animate.interpolate.PointInterpolator,1675,#FFA500
flare.animate.interpolate.RectangleInterpolator,2042,#FFA500
flare.animate.ISchedulable,1041,#FFA500
flare.animate.Parallel,5176,#FFA500
flare.animate.Pause,449,#FFA500
flare.animate.Scheduler,5593,#FFA500
flare.animate.Sequence,5534,#FFA500
flare.animate.Transition,9201,#FFA500
flare.animate.Transitioner,19975,#FFA500
flare.animate.TransitionEvent,1116,#FFA500
flare.animate.Tween,6006,#FFA500
flare.data,
flare.data.converters,
flare.data.converters.Converters,721,#FFA500
flare.data.converters.DelimitedTextConverter,4294,#FFA500
flare.data.converters.GraphMLConverter,9800,#FFA500
flare.data.converters.IDataConverter,1314,#FFA500
flare.data.converters.JSONConverter,2220,#FFA500